owner,modifier,adjective,type,attribute,value
Sandy,3,Empty,Arrow,Wiseness,1598
Sanford,8,Wry,Mace,Clutteredness,1303
Santiago,6,Juvenile,Maul,Ablazeness,12066
Saul,9,Phobic,Mace,Lastness,22811
Scott,3,Lonely,Longsword,Mindlessness,7697
Seaborn,9,Utter,Plushie,Limpingness,22602
Sebastian,6,Enchanted,Lightsaber,Adamantness,28417
Seth,8,Fearful fearless,Plushie,Waitingness,10865
Seward,7,Wary,Carrot,Undesirableness,14432
Seymour,6,Towering,Transcript,Probableness,3216
Shade,3,Succinct,Eyeball,Billowyness,12274
Shannon,4,Abashed,Toothbrush,Markedness,12059
Shelby,8,Bored,Necklace,Culturedness,15378
Sheldon,3,Utter,Tome,Seriousness,14444
Shelly,3,Elderly,Manuscript,Finickyness,4054
Shelton,1,Mighty,Gun,Militaryness,8109
Sherman,8,Sincere,Shiv,Selfishness,7812
Shirley,5,Boorish,Longsword,Productiveness,1212
Sid,6,Savory,Carrot,Tenseness,20828
Sidney,6,Rambunctious,Dagger,Subsequentness,8763
Silas,5,Periodic,Manuscript,Satisfyingness,9914
Sim,7,Eager,Longsword,Lackingness,51139
Simeon,1,Vulgar,Arrow,Wanderingness,3559
Simon,2,First,Scalpel,Divergentness,34415
Smith,9,Painstaking,Curd,Spookyness,11607
Sol,4,Spotty,Plushie,Thunderingness,2519
Soloman,4,Puny,Sword,Derangedness,7720
Solomon,5,Goofy,Longsword,Juvenileness,271
Solon,3,Available,Coat,Decorousness,1465
Spencer,8,Madly,Staff,Ruddyness,71201
Squire,4,Foolish,Banana,Mistyness,6617
Stacy,1,Deadpan,Longsword,Blueness,10680
Stanford,1,Tricky,Tome,Usedness,16631
Stanley,3,Belligerent,Teacup,Greyness,9819
Stanton,7,Vast,Maul,Innocentness,43600
Starling,2,Hilarious,Apple,Chunkyness,16094
Stephen,2,Tart,Plushie,Fadedness,38869
Sterling,4,Keen,Gun,Juvenileness,41259
Steve,6,Unbiased,Figurine,Complexness,21598
Steven,7,Hulking,Carrot,Bizarreness,35198
Stewart,1,Unequaled,Dagger,Friendlyness,25678
Stonewall,2,Yellow,Putty,Nearness,21986
Stuart,4,Cool,Greathammer,Hurriedness,57680
Sumner,7,Depressed,Spoon,Resoluteness,51794
Sydney,9,Cooperative,Cheezit,Tremendousness,10740
Sylvester,3,Vast,Fish,Glossyness,6769
Talmage,7,Young,Dagger,Colossalness,15880
Taylor,5,Sedate,Scalpel,Whisperingness,18044
Ted,8,Racial,Stick,Dazzlingness,20971
Terry,2,Understood,Twine,Magnificentness,16355
Thad,3,Learned,Chalice,Brightness,7836
Thaddeus,5,Humorous,Putty,Shockingness,25576
Theo,8,Loud,Jar,Fantasticness,13556
Theodore,8,Busy,Club,Paleness,14838
Theron,3,Concerned,Shoe,Sleepyness,11662
Thomas,1,Freezing,Spoon,Fluffyness,10989
Thornton,7,Husky,Arrow,Shutness,10947
Thos,7,Unable,Manuscript,Meekness,13802
Thurman,4,Sincere,Shoe,Unbiasedness,655
Tilden,5,Ceaseless,Staff,Leanness,762
Tillman,2,Left,Jar,Jadedness,7486
Tilman,2,Guttural H habitual,Chalice,Alikeness,17065
Tim,3,Quaint,Arrow,Furry furtiveness,1247
Timothy,8,Cloudy,Arrow,Gainfulness,7720
Titus,4,Defective,Banana,Dazzlingness,11761
Tobe,7,Mushy,Shiv,Abhorrentness,3454
Tobias,8,Quiet,Sword,Variousness,2704
Todd,2,Legal,Longsword,Scaryness,17982
Tolbert,7,Two,Gun,Tender tenseness,37735
Tom,2,Few fierce,Bow,Unbecomingness,12770
Tomas,6,Four frail,String,Joyousness,10230
Tommie,3,Homeless,Necklace,Somberness,25564
Tommy,5,Purring,Toothbrush,Vagabondness,14354
Toney,6,Profuse,Shiv,Sophisticatedness,16881
Tony,8,Overjoyed,Mace,Languidness,31754
Tracy,6,Violent,Cheezit,Easyness,17783
Travis,2,Bright,Screwdriver,Righteousness,2115
Troy,5,Panoramic,Cheezit,Blue-eyedness,18758
Truman,2,Axiomatic,Mace,Rabidness,3177
Turner,6,Rambunctious,Shoe,Paleness,3105
Tyler,5,Oafish,Banana,Straightness,12623
Ulysses,9,Kindhearted,Wand,Mundaneness,111135
Unknown,7,Industrious,Toe,Fuzzy ness,4853
Urban,9,Uppity,Lawnmower,Awfulness,9294
Uriah,6,Mean,String,Jumpyness,58092
Valentine,6,Abrupt,Curd,Efficaciousness,5958
Van,9,Damaging,Sword,Emptyness,5889
Vance,3,Zesty,Spoon,Spitefulness,4504
Vaughn,5,Lackadaisical,Twine,Quackness,7762
Vern,8,Rare,Greathammer,Stereotypedness,136036
Verne,1,Efficient,Eyeball,Disturbedness,10325
Verner,9,Hard,Mace,Cleanness,9315
Vernie,4,Lively,Plushie,Privateness,1735
Vernon,5,Thankful,Shiv,Windyness,16246
Vicente,4,Available,Lightsaber,Enchantingness,19233
Victor,1,Null,Stick,Talentedness,10049
Vincent,4,Five,Transcript,Ruddyness,11695
Virgil,1,Deserted,Thingamajig,Abnormalness,38913
Vivian,6,Venomous,Screwdriver,Dependentness,106891
Volney,8,Grandiose,Gun,Cloudyness,26311
Wade,7,Flashy,Sword,Keenness,27305
Waldo,2,Adventurous,Scalpel,Astonishingness,12238
Walker,9,Quixotic,Maul,Stimulatingness,1383
Wallace,9,Intelligent,Carrot,Meekness,25687
Walter,2,Chief,Twine,Icyness,4701
Walton,7,Loose,Toe,Axiomaticness,38630
Ward,2,Overt,Jar,Voicelessness,30767
Warner,6,Toothsome,Apple,Judiciousness,14571
Warren,5,Robust,Novel,Apatheticness,8027
Wash,4,Left,Club,Waitingness,12084
Washington,4,Probable,Toothbrush,Squealingness,33742
Watson,3,Unwieldy,Saw,Etherealness,2622
Watt,6,Sloppy,Plushie,Bashfulness,107567
Waverly,6,Makeshift,Shoe,Comfortableness,9576
Wayne,8,Tough,Manuscript,Eightness,15554
Weaver,1,Outstanding,Chalice,Guardedness,17661
Webb,2,Extra-small,Dagger,Abusiveness,12271
Webster,9,Thinkable,Stick,Wastefulness,10207
Weldon,9,Waggish,String,Obeisantness,36148
Wellington,8,Tiny,Eyeball,Somberness,1339
Wells,3,Glistening glorious,Cheese,Awesomeness,22597
Wendell,6,Romantic,Figurine,Tacitness,16526
Wesley,4,Curious,Spoon,Halfness,21429
West,4,Slippery,Apple,Interestingness,29287
Weston,6,Itchy,Book,Livelyness,124022
Wheeler,6,Chilly,Chalice,Versedness,13739
Whit,7,Dynamic,Twine,Damagedness,19016
Wilber,6,Substantial,Putty,Fallaciousness,40030
Wilbert,1,Blushing,Chalice,Pluckyness,1053
Wilbur,8,Female fertile,Arrow,Machoness,4197
Wilburn,6,Real,Coat,Knowledgeableness,9708
Wiley,1,Abstracted,Text,Calmness,12893
Wilford,3,Incandescent,Spoon,Confusedness,58540
Wilfred,8,Zesty,Figurine,Quickestness,11571
Wilhelm,9,Spotless,Jar,Motionlessness,290
Wiliam,8,Satisfying,Maul,Adorableness,6489
Will,4,Vacuous,Rod,Expensiveness,2076
Willam,8,Loud,Kukri,Cruelness,10523
Willard,5,Learned,Bow,Utopianness,14491
William,4,Mature,Cheese,Joyousness,12657
Williams,4,Sincere,Bow,Irritatingness,28289
Willian,8,Exuberant,Plushie,Organicness,6664
Willie,3,Cruel,Sythe,Dazzlingness,9086
Willis,4,Tacit,Longsword,Loudness,2185
Wilmer,8,Craven,Gun,Waitingness,8362
Wilson,1,Elfin,Banana,Lyricalness,9847
Wilton,4,Chubby,Curd,Versedness,13702
Winfield,4,Threatening,Saw,Adhesiveness,20124
Winfred,1,Sloppy,Saw,Adorableness,6857
Wing,3,Incandescent,Club,Handsomelyness,5197
Wirt,5,Flat,Greathammer,Acceptableness,5656
Wm,9,Blushing,Toothbrush,Politeness,5654
Wong,8,Certain,Screwdriver,Privateness,21242
Wood,5,Wholesale,Book,Elegantness,40662
Woodie,7,Second-hand,Coat,Redundantness,1657
Woodson,5,Hilarious,Manuscript,Deadpanness,61015
Worth,1,Maniacal,Apple,Truthfulness,8883
Wright,5,Powerful,Stick,Rareness,34502
Wyatt,1,Ludicrous,Plushie,Looseness,64661
Wylie,9,Organic,Thingamajig,Brightness,541
Yee,9,Unwieldy,Twine,Unaccountableness,4517
York,1,Lively,Arrow,Verdantness,16622
Young,7,Deadpan,Arrow,Wrongness,6175
Zack,7,Bright,Kukri,Freezingness,10810
Zeb,1,Squalid,Sword,Obedientness,8375
Zeke,2,Handsome,Thingamajig,Actuallyness,5742
